source,title,description,link
Telex,"Hiába hívta Orbán Trump szóvivőjét, ő marad a Fehér Házban",A két vezető találkozóján a magyar kormányfő vicceskedve kérte Trumpot adja már kölcsön Karoline Leavittet neki,https://telex.hu/zacc/2025/11/08/karoline-leavitt-trump-orban-talalkozo-valasz
Telex,"Ukrajna elküldte a magyar kormánynak az új ukrán nyelvtörvény tervezetét, várják a választ",Tarasz Kacska ukrán miniszterelnökhelyettes szerint az új javaslat 11 magyar követelés közül ötöt figyelembe vesz,https://telex.hu/kulfold/2025/11/08/ukrajna-nyelvtorveny-magyarorszag
Telex,Hadiipari cégekkel tárgyalt Amerikában Nagy Márton a 4iG vezér társaságában,A 4iG elnöke az űriparra is ráment tárgyalt a SpaceX vezetőivel is,https://telex.hu/gazdasag/2025/11/08/jaszai-gellert-4ig-usa-talalkozo-lockheed-martin-spacex-northrop-grumman
Telex,Tömeges ételmérgezés: megszólalt a közétkeztetési cég vezetője,Azt mondta a történtek őket is megviselték a hatóságokkal mindenben együttműködnek,https://telex.hu/belfold/2025/11/08/tomeges-etelmergezes-megszolalt-a-kozetkeztetesi-ceg-vezetoje
Telex,"Kólát itattak, csirkés salátát etettek a magyar kormányküldöttséggel a Fehér Házban",Lázár János építési miniszter kurtán vázolta a baráti hangulatú munkaebéd menüjét,https://telex.hu/kulfold/2025/11/08/lazar-janos-kola-salata-menu-orban-trump-talalkozo-washington
Telex,"Anger Zsolt: Leonardo DiCaprio csinált hatvankét filmet, én meg nem",A filmes munkák hiányában egy ideje inkább gasztronómiai tartalmakat készítő színész Veiszer Alindának azt mondta szerinte semmi nem működik jól most az országban,https://telex.hu/karakter/kultura/2025/11/08/veiszer-alinda-anger-zsolt-szinesz-rendezo
Telex,Orbán Ráhel is megjelent a washingtoni gálavacsorán,A magyar nagykövetségen a delegációval együtt fogyaszthatott hortobágyi palacsintát és marhasültet,https://telex.hu/kulfold/2025/11/08/washingtoni-magyar-nagykovetseg-galavacsora-orban-rahel
Telex,"Helló, ősz, csak nem meghoztad a szürkeséget?",Eső köd pára ezekre kell számítani hétvégén,https://telex.hu/belfold/2025/11/08/idojaras-osz-eso-kod
Telex,"Nem hagyta jóvá határidőre az Európai Beruházási Bank, hogy a Waberer's megvegye a GYSEV Cargót",A Waberers szerint nem arról van szó hogy az engedélyt megtagadták hanem arról hogy a jóváhagyás a határidőig nem érkezett meg A GYSEV Cargónál közben felmondott a vezérigazgató aki 39 éve dolgozott a cégnél,https://telex.hu/gazdasag/2025/11/08/gysev-vezerigazgato-waberers-eladas
Telex,Orbán Viktor az amerikai alelnökkel beszélt négyszemközt a Trump-találkozó után,Este az alelnök a saját rezidenciáján fogadta Orbánt de azt nem árulták el miről beszéltek,https://telex.hu/kulfold/2025/11/08/orban-viktor-j-d-vance-amerikai-alelnok-talalkozo-washington
Telex,A világ egyik leggazdagabb országát ötven éve meghódította a magyar csirke,Az arab nyitás idején 1975ben az Ikarusok mellett a csirke volt a toptermék a magyarkuvaiti gazdasági együttműködésben minden lakosra jutott belőle tíz kiló,https://telex.hu/eszkombajn/2025/11/08/magyar-csirke-piacvezeto-kuvait-1975
Telex,"Orbán megkapta, amiért a Fehér Házba ment",Trump dicsérettel és gesztusokkal halmozta el Orbánt aki közel 240 milliárd forint értékben tett vállalásokat az amerikaiak a nukleáris ágazatban is megjelennek A kormányfő elérte hogy Magyarország az amerikai szankciókat elkerülve továbbra is importálhasson orosz kőolajat és földgázt A kettős adóztatás azonban érvényben maradt,https://telex.hu/gazdasag/2025/11/08/orban-trump-feher-haz-washington-targyalas-szankciok-mentesseg-nuklearis-megallapodas-szandeknyilatkozat
Telex,"Végveszélyben van a hazai üvegvisszaváltó rendszer, pedig hamarosan kötelező lesz használni",Nagy az esélye hogy 2030ig mire Magyarországon is kötelező lesz az újratölthető palackokkal dolgozó körforgó értékesítés megszűnnek a jelenleg üzemelő rendszerek,https://telex.hu/g7/vallalat/2025/11/08/magyar-uvegvisszavalto-rendszer-kiskereskedelem-mohu-automatak-eu-korforgo-csomagolas
Telex,Törökország elfogatóparancsot adott ki Benjámin Netanjahu ellen népirtásra hivatkozva,Törökország a Gázai konfliktussal kapcsolatban vádolja Izraelt,https://telex.hu/kulfold/2025/11/07/torokorszag-izrael-benjamin-netanjahu-elfogatoparancs-nepirtas
Telex,"Orbán kölcsönkérné Trump sajtófőnökét, aki az elnök kérésére leteremtett egy kérdéssel provokáló újságírót",A csak a kormánymédiának nyilatkozó a teljes sajtó elé évente egyszer kiálló vitákat nem vállaló miniszterelnök a jelek szerint el tudna képzelni egy kormányszóvivői szintlépést,https://telex.hu/zacc/2025/11/07/orban-washingtonb-trump-kolcsonkerte-sajtofonok
Telex,"Meghalt James Watson, aki először írta le a DNS kettősspirál-szerkezetét",A tudós 97 éves volt halálát a fia erősítette meg,https://telex.hu/techtud/2025/11/07/meghalt-james-watson-a-dns-kettosspiral-szerkezetenek-leiroja
Telex,"Bezárul a harapófogó, miközben az ukrán katonák a romok közt próbálják túlélni az ostromot",Az egykor fontos közlekedési csomópont Pokrovszk ostroma több mint egy éve zajlik de most már annyira körbevették az oroszok hogy az ukrán főparancsnok szerint is nehéz a helyzet Takács Márk katonai szakértővel elemeztük ki meddig tudják tartani a város romjait az ukránok és mi lesz ha Pokrovszk elesik,https://telex.hu/kulfold/2025/11/07/pokrovszk-katonai-helyzet-az-ukran-orosz-fronton-takacs-mark
Telex,"Magyar Péterék feljelentenek minden újságot, amely közzétette a térképet a Tisza-szimpatizánsok adatairól",A Tisza elnöke szerint ez egy politikailag motivált bűncselekmény melynek célja a megfélemlítés,https://telex.hu/belfold/2025/11/07/magyar-peter-adatszivargas-tisza-app-bejelentes
Telex,"Orbán majd bemutatja Trumpnak, hogy kell nyomást gyakorolni Putyinra",Donald Trump a Fehér Házban fogadta Orbán Viktort és a magyar delegációt Orbán szerint nem kérdés hogy ha 2022ben Trump lett volna az elnök akkor most nem lenne oroszukrán háború Videós összefoglaló,https://telex.hu/video/2025/11/07/trump-orban-talalkozo-washington-ukrajna-oroszorszag
Telex,A NAIH szerint bűncselekmény térképre tenni a Tisza-szimpatizánsok adatait,Ha a létrehozója nem törli az oldalt Nemzeti Adatvédelmi és Információszabadság Hatóság jogi eszközökkel gondoskodik az eltávolításáról,https://telex.hu/belfold/2025/11/07/naih-tisza-vilag-alkalmazas-jogsertes-terkep
Telex,"Norris hatalmas lendületben Brazíliában, Verstappen csak a fejét csóválta",Szombaton óriási ciklon éri el a Brazil Nagydíj helyszínét az eső pedig átrendezheti az erőviszonyokat,https://telex.hu/sport/2025/11/07/forma-1-f1-brazil-nagydij-sprintidomero-1
Telex,Idén először jelöltek K-pop-számot Grammy-díjra a legjobb dal kategóriában,Rögtön kettőt is az APTt Bruno Marstól és Rosétól meg a Goldent a Kpop démonvadászokból Kendrick Lamar 9 Lady Gaga 7 kategóriában lesz érdekelt,https://telex.hu/after/2025/11/07/eloszor-jeloles-k-pop-legjobb-dal-lady-gaga-kendrick-lamar
Telex,Hat hónap börtönre ítélték zaklatás miatt a magát Madeleine McCann-nak kiadó lengyel nőt,Julia Wandelt évekig zaklatta az eltűnt lány szüleit de büntetését már letöltötte mert február óta őrizetben van,https://telex.hu/kulfold/2025/11/07/bunosnek-talaltak-zaklatasban-azt-a-lengyel-not-aki-madeleine-mccann-nek-adta-ki-magat
Telex,"A családügyi államtitkárral közösen adtak át a baranyai fideszesek egy bölcsődét, ami már két hónapja működik",Az ünnepségen meghallgathatták a gyerekek hogy a kormány mennyi mindent tett a családokért Azt nem verték nagy dobra hogy a bölcsőde EUs pénzből épült,https://telex.hu/belfold/2025/11/07/ket-honapja-mukodo-bolcsodet-adtak-at-fideszes-politikusok
